Chins,Situps,Jumps
{'Chins': 12.0, 'Situps': 101.0, 'Jumps': 101.0}
{'Chins': 12.0, 'Situps': 105.0, 'Jumps': 37.0}
{'Chins': 13.0, 'Situps': 155.0, 'Jumps': 58.0}
{'Chins': 15.0, 'Situps': 200.0, 'Jumps': 40.0}
{'Chins': 17.0, 'Situps': 251.0, 'Jumps': 250.0}
{'Chins': 17.0, 'Situps': 120.0, 'Jumps': 38.0}
{'Chins': 13.0, 'Situps': 210.0, 'Jumps': 115.0}
{'Chins': 14.0, 'Situps': 215.0, 'Jumps': 105.0}
{'Chins': 12.0, 'Situps': 210.0, 'Jumps': 120.0}
{'Chins': 11.0, 'Situps': 230.0, 'Jumps': 80.0}
{'Chins': 15.0, 'Situps': 225.0, 'Jumps': 73.0}
