Chins,Situps,Jumps,Chins(>10)
5.0, 162.0, 60.0, False
2.0, 110.0, 60.0, False
12.0, 101.0, 101.0, True
12.0, 105.0, 37.0, True
13.0, 155.0, 58.0, True
4.0, 101.0, 42.0, False
8.0, 101.0, 38.0, False
6.0, 125.0, 40.0, False
15.0, 200.0, 40.0, True
17.0, 251.0, 250.0, True
17.0, 120.0, 38.0, True
13.0, 210.0, 115.0, True
14.0, 215.0, 105.0, True
1.0, 50.0, 50.0, False
6.0, 70.0, 31.0, False
12.0, 210.0, 120.0, True
4.0, 60.0, 25.0, False
11.0, 230.0, 80.0, True
15.0, 225.0, 73.0, True
2.0, 110.0, 43.0, False
