Chins,Situps,Jumps,Chins_Range,Chins_vs_Avg
5.0, 162.0, 60.0, 5, 1
2.0, 110.0, 60.0, 0, 1
12.0, 101.0, 101.0, 10, 0
12.0, 105.0, 37.0, 10, 0
13.0, 155.0, 58.0, 10, 0
4.0, 101.0, 42.0, 0, 1
8.0, 101.0, 38.0, 5, 1
6.0, 125.0, 40.0, 5, 1
15.0, 200.0, 40.0, 15, 0
17.0, 251.0, 250.0, 15, 0
17.0, 120.0, 38.0, 15, 0
13.0, 210.0, 115.0, 10, 0
14.0, 215.0, 105.0, 10, 0
1.0, 50.0, 50.0, 0, 1
6.0, 70.0, 31.0, 5, 1
12.0, 210.0, 120.0, 10, 0
4.0, 60.0, 25.0, 0, 1
11.0, 230.0, 80.0, 10, 0
15.0, 225.0, 73.0, 15, 0
2.0, 110.0, 43.0, 0, 1
